MA409 (original)
   0.9999939      0.3498894E-03
   0.9498046      0.1123417E-01
   0.8996352      0.2097881E-01
   0.7993691      0.3629941E-01
   0.6991877      0.4676155E-01
   0.5990592      0.5419464E-01
   0.5490072      0.5721141E-01
   0.4989529      0.6035814E-01
   0.4489267      0.6189537E-01
   0.3989067      0.6307272E-01
   0.3489150      0.6263058E-01
   0.2989371      0.6139869E-01
   0.2489696      0.5956700E-01
   0.1990512      0.5492618E-01
   0.1491549      0.4901577E-01
   0.9930113E-01  0.4066613E-01
   0.7440338E-01  0.3482184E-01
   0.4952517E-01  0.2785790E-01
   0.2470381E-01  0.1763500E-01
   0.1232443E-01  0.1072911E-01
   0.1708078E-04 -0.3054709E-03
   0.1266503E-01 -0.8794718E-02
   0.2523799E-01 -0.1298532E-01
   0.5029201E-01 -0.1609820E-01
   0.7529457E-01 -0.1626201E-01
   0.1002905     -0.1604594E-01
   0.1502534     -0.1395432E-01
   0.2002101     -0.1150282E-01
   0.2501535     -0.8291555E-02
   0.3000897     -0.4670421E-02
   0.3500317     -0.1379183E-02
   0.3999814      0.1472194E-02
   0.4499316      0.4293581E-02
   0.4999027      0.5915346E-02
   0.5498823      0.7047267E-02
   0.5998646      0.8029235E-02
   0.6998595      0.8253721E-02
   0.7998762      0.7228602E-02
   0.8999149      0.4943880E-02
   0.9499600      0.2326986E-02
    1.000006     -0.3498894E-03
