MA409 (original)
0.9999880 0.0003483
0.9997480 0.0004015
0.9989930 0.0005691
0.9977360 0.0008480
0.9959770 0.0012382
0.9937190 0.0017389
0.9909640 0.0023493
0.9877150 0.0030678
0.9839740 0.0038927
0.9797460 0.0048210
0.9750360 0.0058490
0.9698460 0.0069731
0.9641840 0.0081875
0.9580540 0.0094867
0.9514630 0.0108638
0.9444180 0.0123113
0.9369250 0.0138220
0.9289920 0.0153879
0.9206270 0.0170012
0.9118380 0.0186537
0.9026350 0.0203370
0.8930270 0.0220430
0.8830220 0.0237646
0.8726320 0.0254947
0.8618670 0.0272269
0.8507370 0.0289550
0.8392550 0.0306729
0.8274300 0.0323755
0.8152760 0.0340574
0.8028050 0.0357137
0.7900280 0.0373403
0.7769600 0.0389335
0.7636130 0.0404910
0.7500000 0.0420104
0.7361360 0.0434895
0.7220330 0.0449266
0.7077080 0.0463199
0.6931730 0.0476680
0.6784430 0.0489699
0.6635340 0.0502245
0.6484600 0.0514314
0.6332370 0.0525898
0.6178790 0.0536995
0.6024030 0.0547599
0.5868240 0.0557704
0.5711570 0.0567304
0.5554190 0.0576388
0.5396250 0.0584948
0.5237910 0.0592959
0.5079330 0.0600390
0.4920670 0.0607207
0.4762090 0.0613359
0.4603750 0.0618777
0.4445810 0.0623390
0.4288430 0.0627133
0.4131760 0.0629950
0.3975970 0.0631786
0.3821210 0.0632593
0.3667630 0.0632355
0.3515400 0.0631059
0.3364660 0.0628695
0.3215570 0.0625271
0.3068270 0.0620800
0.2922920 0.0615297
0.2779670 0.0608779
0.2638640 0.0601267
0.2500000 0.0592783
0.2363870 0.0583346
0.2230400 0.0572971
0.2099720 0.0561672
0.1971950 0.0549460
0.1847240 0.0536351
0.1725700 0.0522355
0.1607450 0.0507485
0.1492630 0.0491756
0.1381330 0.0475180
0.1273680 0.0457791
0.1169780 0.0439624
0.1069730 0.0420712
0.0973650 0.0401095
0.0881620 0.0380819
0.0793730 0.0359970
0.0710080 0.0338641
0.0630750 0.0316941
0.0555820 0.0295007
0.0485370 0.0272976
0.0419460 0.0250970
0.0358160 0.0229085
0.0301540 0.0207415
0.0249640 0.0186044
0.0202540 0.0165066
0.0160260 0.0144521
0.0122850 0.0124452
0.0090360 0.0104904
0.0062810 0.0085894
0.0040230 0.0067441
0.0022640 0.0049560
0.0010070 0.0032286
0.0002520 0.0015625
0.0000000 -0.0000413
0.0002520 -0.0015798
0.0010070 -0.0030504
0.0022640 -0.0044529
0.0040230 -0.0057871
0.0062810 -0.0070506
0.0090360 -0.0082423
0.0122850 -0.0093611
0.0160260 -0.0104058
0.0202540 -0.0113738
0.0249640 -0.0122623
0.0301540 -0.0130689
0.0358160 -0.0137886
0.0419460 -0.0144169
0.0485370 -0.0149488
0.0555820 -0.0153796
0.0630750 -0.0157062
0.0710080 -0.0159263
0.0793730 -0.0160379
0.0881620 -0.0160420
0.0973650 -0.0159432
0.1069730 -0.0157466
0.1169780 -0.0154581
0.1273680 -0.0150846
0.1381330 -0.0146330
0.1492630 -0.0141101
0.1607450 -0.0135227
0.1725700 -0.0128767
0.1847240 -0.0121777
0.1971950 -0.0114315
0.2099720 -0.0106436
0.2230400 -0.0098183
0.2363870 -0.0089593
0.2500000 -0.0080703
0.2638640 -0.0071551
0.2779670 -0.0062182
0.2922920 -0.0052644
0.3068270 -0.0042984
0.3215570 -0.0033266
0.3364660 -0.0023571
0.3515400 -0.0013979
0.3667630 -0.0004576
0.3821210 0.0004552
0.3975970 0.0013316
0.4131760 0.0021631
0.4288430 0.0029443
0.4445810 0.0036708
0.4603750 0.0043385
0.4762090 0.0049466
0.4920670 0.0054963
0.5079330 0.0059891
0.5237910 0.0064270
0.5396250 0.0068126
0.5554190 0.0071488
0.5711570 0.0074380
0.5868240 0.0076823
0.6024030 0.0078837
0.6178790 0.0080443
0.6332370 0.0081657
0.6484600 0.0082496
0.6635340 0.0082976
0.6784430 0.0083116
0.6931730 0.0082932
0.7077080 0.0082445
0.7220330 0.0081668
0.7361360 0.0080615
0.7500000 0.0079300
0.7636130 0.0077737
0.7769600 0.0075942
0.7900280 0.0073930
0.8028050 0.0071719
0.8152760 0.0069324
0.8274300 0.0066757
0.8392550 0.0064031
0.8507370 0.0061158
0.8618670 0.0058153
0.8726320 0.0055032
0.8830220 0.0051811
0.8930270 0.0048509
0.9026350 0.0045145
0.9118380 0.0041737
0.9206270 0.0038302
0.9289920 0.0034856
0.9369250 0.0031420
0.9444180 0.0028013
0.9514630 0.0024658
0.9580540 0.0021377
0.9641840 0.0018193
0.9698460 0.0015129
0.9750360 0.0012209
0.9797460 0.0009461
0.9839740 0.0006909
0.9877150 0.0004581
0.9909640 0.0002503
0.9937190 0.0000697
0.9959770 -0.0000813
0.9977360 -0.0002010
0.9989930 -0.0002875
0.9997480 -0.0003400
1.0000000 -0.0003576
